gene_name	ensgene	prize	type	direction	terminal	degree	betweenness	robustness	specificity	leiden_clusters	meta_cluster	source	location	general_process	specific_process	general_function	specific_function	log2FC_prot	log2FC_rna	gene_DS_status	Fig1_plot_group
ATP6V0A1	ENSG00000033627	0.131275992534144	protein	neg	TRUE	9	1.2392330955819E-3	0.96	0.06	10	Autophagy	protein	extracellular	localization	establishment of localization	binding	protein binding	-0.390683262418964	-0.160898170497515	No DS	DEP + DEG, no DS
ARF5	ENSG00000004059	0.145541733993738	protein	neg	TRUE	6	3.0710508247617E-3	0.99	0.06	7	Metabolism	protein	extracellular	localization	establishment of localization	binding	protein binding	-0.4208376263174	-0.0584247335750558	No DS	DEP, no DEG, no DS
DCTN4	ENSG00000132912	0.140996456269918	protein	neg	TRUE	10	2.6102561805263999E-3	1	0.05	9	Synaptic/ neuron	protein	cytoskeleton	localization	establishment of localization	binding	protein binding	-0.411229996816211	-0.153823463288427	No DS	DEP + DEG, no DS
HSDL1	ENSG00000103160	0.31560291468339	protein	neg	TRUE	2	2.6994978970839998E-4	1	0.04	2	Metabolism	protein	mitochondria	NA	NA	NA	NA	-0.780306269572851	-0.405281706627514	No DS	DEP + DEG, no DS
AKR1C1	ENSG00000187134	0.203839067313845	protein	neg	TRUE	3	2.6669519972399999E-4	1	0.09	7	Metabolism	protein	extracellular	cellular process	cellular response to stimulus	catalytic	oxidoreductase	-0.544064239404562	-0.16712058226233	No DS	DEP + DEG, no DS
PDE1B	ENSG00000123360	0.48063400692346	protein	neg	TRUE	5	1.8660810570979999E-4	1	0.06	2	Metabolism	protein	cytoplasm	cellular process	cellular response to stimulus	catalytic	hydrolase	-1.12914250945974	-0.713076101321774	No DS	DEP + DEG, no DS
SEPTIN8	NA	0.168812820208135	protein	pos	TRUE	5	1.4738744763140001E-4	1	0.06	5	Synaptic/ neuron	protein	NA	NA	NA	NA	NA	0.47002713420301	NA	No DS	NA
CPE	ENSG00000109472	0.390534139410166	protein	neg	TRUE	5	2.1537995280096001E-3	1	0.05	4	Synaptic/ neuron	protein	vesicle	cellular process	cell communication	catalytic	hydrolase	-0.938692948888917	-0.0820030059594729	No DS	DEP, no DEG, no DS
SYN2	ENSG00000157152	0.264543383436843	protein	neg	TRUE	5	2.9030038312799998E-4	1	0.03	4	Synaptic/ neuron	protein	NA	cellular process	cell communication	binding	drug binding	-0.672378638187352	-0.444613868160308	No DS	DEP + DEG, no DS
DRG2	ENSG00000108591	0.314751379994003	protein	neg	TRUE	1	0	1	0.14	5	Synaptic/ neuron	protein	nucleus	cellular process	cell communication	binding	protein binding	-0.778506328997125	-0.0005715475107216	No DS	DEP, no DEG, no DS
SYT11	ENSG00000132718	0.311752073415488	protein	neg	TRUE	2	2.1398625015041002E-3	1	0.04	6	Metabolism	protein	vesicle	biological regulation	regulation of biological process	binding	protein binding	-0.772166512572745	0.0482188368229022	No DS	DEP, no DEG, no DS
KIF3A	ENSG00000131437	0.140571429826815	protein	neg	TRUE	7	2.6265561259970001E-4	0.99	0.06	9	Synaptic/ neuron	protein	cytoskeleton	cellular process	microtubule-based process	binding	protein binding	-0.410331592617027	0.0158988945323074	No DS	DEP, no DEG, no DS
LSM14A	ENSG00000257103	0.358387983520309	protein	pos	TRUE	14	4.1925631244679002E-3	1	0.09	1	Nuclear/RBP/TF	protein	nucleus	cellular process	cellular component organization	binding	organic cyclic compound binding	0.870743667361271	0.48346701654667	No DS	DEP + DEG, no DS
FMNL1	ENSG00000184922	0.755291718852843	protein	pos	TRUE	6	2.4306112001520001E-3	1	0.05	8	Synaptic/ neuron	protein	extracellular	cellular process	actin filament-based process	binding	protein binding	1.70970319160082	-0.211521603853669	No DS	DEP, no DEG, no DS
RAPH1	ENSG00000173166	0.151220107430639	protein	neg	TRUE	6	1.0212335696412999E-3	1	0.04	8	Synaptic/ neuron	protein	nucleus	cellular process	cell communication	binding	protein binding	-0.43284034902568	-0.225640605045667	No DS	DEP + DEG, no DS
GLS	ENSG00000115419	0.190690404203823	protein	neg	TRUE	5	4.7476443579722999E-3	1	0.09	12	Autophagy	protein	mitochondria	cellular process	cellular component organization	catalytic	hydrolase	-0.516271111839441	-0.0131241180359577	No DS	DEP, no DEG, no DS
EPM2AIP1	ENSG00000178567	0.104723684413328	protein	neg	TRUE	5	1.0632095694287E-3	1	0.16	1	Nuclear/RBP/TF	protein	nucleus	biological regulation	regulation of biological process	binding	protein binding	-0.334558036563283	-0.0687736994847665	No DS	DEP, no DEG, no DS
NECAP1	ENSG00000089818	0.137543510214546	protein	neg	TRUE	3	6.387422114023495e-05	1	0.04	9	Synaptic/ neuron	protein	vesicle	cellular process	cellular component organization	NA	NA	-0.403931295085897	-0.289232112412199	No DS	DEP + DEG, no DS
TLN2	ENSG00000171914	0.271359657389209	protein	neg	TRUE	2	2.1614585213669999E-4	1	0.05	4	Synaptic/ neuron	protein	plasma_membrane	cellular process	cellular component organization	binding	protein binding	-0.686786610305255	-0.357086996754912	DS	DEP + DS
ENDOG	ENSG00000167136	0.382616017522191	protein	pos	TRUE	5	6.307733033281E-4	1	0.03	0	Nuclear/RBP/TF	protein	cytoplasm	cellular process	cellular response to stimulus	binding	protein binding	0.921955933888439	0.0610505159569181	No DS	DEP, no DEG, no DS
RPTOR	ENSG00000141564	0.281120605127916	protein	neg	TRUE	18	1.1384057450045001E-2	1	0.05	0	Nuclear/RBP/TF	protein	lysosome	biological regulation	regulation of biological process	binding	protein binding	-0.707418918197577	-0.395896938490667	No DS	DEP + DEG, no DS
PRPS1	ENSG00000147224	0.102512920958186	protein	neg	TRUE	11	1.00985190429662E-2	1	0.05	8	Synaptic/ neuron	protein	cytoplasm	metabolic process	cellular metabolic process	binding	protein binding	-0.329885011616874	-0.0927537221261574	No DS	DEP, no DEG, no DS
MTHFD2	ENSG00000065911	0.121289770803013	protein	neg	TRUE	6	9.1316809373509999E-4	1	0.06	8	Synaptic/ neuron	protein	mitochondria	metabolic process	cellular metabolic process	catalytic	oxidoreductase	-0.369574779210861	-0.0400939987489995	No DS	DEP, no DEG, no DS
SNAP91	ENSG00000065609	0.119065761331437	protein	neg	TRUE	4	6.1739471715999996E-4	1	0.03	9	Synaptic/ neuron	protein	plasma_membrane	biological regulation	regulation of biological process	binding	protein binding	-0.364873755355255	-0.330011398053063	No DS	DEP + DEG, no DS
RAB12	ENSG00000206418	0.198049311251436	protein	neg	TRUE	1	0	1	0.07	11	Synaptic/ neuron	protein	lysosome	cellular process	cellular response to stimulus	binding	small molecule binding	-0.531826080477908	-0.223685776069854	No DS	DEP + DEG, no DS
NUDC	ENSG00000090273	0.201241644229081	protein	neg	TRUE	11	4.8948942201497E-3	1	0.04	5	Synaptic/ neuron	protein	nucleus	developmental process	anatomical structure development	binding	protein binding	-0.538573908522146	-0.047032592237197	No DS	DEP, no DEG, no DS
ACTR1A	ENSG00000138107	0.22777856549011	protein	neg	TRUE	16	7.1301946736149003E-3	1	0.01	9	Synaptic/ neuron	protein	cytoskeleton	localization	establishment of localization	binding	protein binding	-0.594666610238047	-0.302705939212446	No DS	DEP + DEG, no DS
ALDH5A1	ENSG00000112294	0.178837835179758	protein	neg	TRUE	7	2.2176283756301001E-3	1	0.04	7	Metabolism	protein	mitochondria	cellular process	cellular component organization	catalytic	oxidoreductase	-0.491217617038957	-0.199527452472897	No DS	DEP + DEG, no DS
AKR1C2	ENSG00000151632	0.160248478010913	protein	neg	TRUE	2	0	1	0.02	7	Metabolism	protein	cytoplasm	cellular process	cellular response to stimulus	catalytic	oxidoreductase	-0.451924164098216	-0.0851509835721362	No DS	DEP, no DEG, no DS
DAPK1	ENSG00000196730	0.281207586889912	protein	neg	TRUE	11	3.0958261585203001E-3	1	0.1	8	Synaptic/ neuron	protein	cytoskeleton	cellular process	cellular response to stimulus	binding	protein binding	-0.707602776829193	-0.108054868115547	DS	DEP + DS
SORBS1	ENSG00000095637	0.243121048621525	protein	pos	TRUE	8	3.0207049616806998E-3	1	0.05	8	Synaptic/ neuron	protein	plasma_membrane	biological regulation	regulation of biological process	binding	protein binding	0.627096948384905	0.169877605378894	DS	DEP + DS
SRM	ENSG00000116649	0.145948849905418	protein	pos	TRUE	4	5.9566214921940002E-4	1	0.01	7	Metabolism	protein	cytoplasm	cellular process	cellular response to stimulus	binding	protein binding	0.421698171938839	0.0413264252319467	No DS	DEP, no DEG, no DS
CORO1A	ENSG00000102879	0.126626985298594	protein	neg	TRUE	3	3.0697710667450002E-4	1	0.06	8	Synaptic/ neuron	protein	cytoskeleton	cellular process	cellular component organization	binding	protein binding	-0.380856373550671	-0.073130861352262	No DS	DEP, no DEG, no DS
CYP51A1	ENSG00000001630	0.127505634728315	protein	neg	TRUE	2	1.2273890468620001E-4	0.92	0.07	8	Synaptic/ neuron	protein	ER	metabolic process	primary metabolic process	catalytic	oxidoreductase	-0.382713628199369	-0.0628961096005523	No DS	DEP, no DEG, no DS
GABARAPL2	ENSG00000034713	0.171311470596004	protein	neg	TRUE	10	4.6244052936526003E-3	1	0.14	12	Autophagy	protein	vesicle	cellular process	process utilizing autophagic mechanism	binding	protein binding	-0.475308683238801	0.0431099114737462	No DS	DEP, no DEG, no DS
DACH1	ENSG00000276644	0.249717668666167	protein	pos	TRUE	6	1.8989201840565999E-3	1	0.08	3	Nuclear/RBP/TF	protein	protein complex	biological regulation	regulation of biological process	binding	protein binding	0.641040624701294	0.0631780864673132	No DS	DEP, no DEG, no DS
RGS10	ENSG00000148908	0.505624657348112	protein	pos	TRUE	1	0	1	0.15	5	Synaptic/ neuron	protein	cytoplasm	biological regulation	regulation of biological process	binding	protein binding	1.18196676462362	0.815028952967267	No DS	DEP + DEG, no DS
CLIC1	ENSG00000213719	0.152219944029309	protein	pos	TRUE	8	6.8791928625251998E-3	1	0.08	12	Autophagy	protein	nucleus	biological regulation	regulation of biological process	transporter	transmembrane transporter	0.434953764351526	0.691905752642737	No DS	DEP + DEG, no DS
TMEM35A	ENSG00000126950	0.219189684229766	protein	neg	TRUE	3	2.9057703076965E-3	1	0.16	6	Metabolism	protein	peroxisome	NA	NA	NA	NA	-0.57651177042559	-0.507215340709493	No DS	DEP + DEG, no DS
ESRRB	ENSG00000119715	0.671033806217082	protein	pos	TRUE	9	1.1709396084305999E-3	1	0.03	7	Metabolism	protein	nucleus	biological regulation	regulation of biological process	transcription regulator	DNA-binding transcription factor	1.53160212576154	0.423612021826211	No DS	DEP + DEG, no DS
PITHD1	ENSG00000057757	0.166838020591677	protein	neg	TRUE	2	1.819947544173E-4	1	0.03	12	Autophagy	protein	nucleus	NA	NA	NA	NA	-0.46585288034948	-0.206353570369222	No DS	DEP + DEG, no DS
PLPPR3	ENSG00000129951	0.122701982947344	protein	neg	TRUE	1	0	1	0.1	6	Metabolism	protein	plasma_membrane	cellular process	cell communication	catalytic	hydrolase	-0.372559857765843	0.0316918453474986	No DS	DEP, no DEG, no DS
ISLR2	ENSG00000167178	0.149802001437	protein	neg	TRUE	2	3.0884539529600001E-4	1	0.17	6	Metabolism	protein	plasma_membrane	cellular process	cellular component organization	NA	NA	-0.429842812283558	0.242151755463367	DS	DEP + DS
GRAMD1A	ENSG00000089351	0.336070005525355	protein	neg	TRUE	8	3.6900222664044999E-3	1	0.1	8	Synaptic/ neuron	protein	membrane	NA	NA	binding	protein binding	-0.82356880218912	-0.0972449442859002	DS	DEP + DS
MRAS	ENSG00000158186	0.242272079555993	protein	neg	TRUE	3	8.525806161647008e-05	1	0.15	8	Synaptic/ neuron	protein	extracellular	cellular process	cellular response to stimulus	binding	protein binding	-0.625302430924101	-0.367745165601695	No DS	DEP + DEG, no DS
VAT1L	ENSG00000171724	0.299605355225399	protein	neg	TRUE	1	0	1	0.05	6	Metabolism	protein	NA	metabolic process	oxidation-reduction process	binding	protein binding	-0.746491256820136	-0.36263556032717	No DS	DEP + DEG, no DS
DNAJC6	ENSG00000116675	0.130572239689156	protein	neg	TRUE	3	5.532954615043738e-05	1	0.05	9	Synaptic/ neuron	protein	cytoplasm	cellular process	cellular component organization	binding	protein binding	-0.389195697300639	-0.222391596472923	No DS	DEP + DEG, no DS
CEMIP2	NA	0.223469382077805	protein	pos	TRUE	3	1.243538847528E-4	1	0.09	11	Synaptic/ neuron	protein	plasma_membrane	metabolic process	nitrogen compound metabolic process	binding	ion binding	0.585558027618085	NA	No DS	NA
ARL2	ENSG00000213465	0.137156398626569	protein	neg	TRUE	2	8.953049742549102e-05	1	0.15	9	Synaptic/ neuron	protein	mitochondria	biological regulation	regulation of biological process	binding	protein binding	-0.403113033818075	-0.336401597976093	No DS	DEP + DEG, no DS
SUCLG1	ENSG00000163541	0.0865646655206536	protein	neg	TRUE	11	6.1097887910774003E-3	0.88	0.02	7	Metabolism	protein	extracellular	metabolic process	cellular metabolic process	binding	organic cyclic compound binding	-0.296174215765802	-0.112447480178808	No DS	DEP, no DEG, no DS
MAB21L1	ENSG00000180660	0.159296547818005	protein	pos	TRUE	3	3.3779074992140002E-4	1	0.08	3	Nuclear/RBP/TF	protein	nucleus	developmental process	anatomical structure development	binding	protein binding	0.449912011450969	-0.0089115493177711	No DS	DEP, no DEG, no DS
SUCLA2	ENSG00000136143	0.124987951540898	protein	neg	TRUE	11	5.1723233307122002E-3	1	0.04	7	Metabolism	protein	extracellular	metabolic process	cellular metabolic process	binding	protein binding	-0.377391848379556	-0.159620451774126	No DS	DEP + DEG, no DS
SLC8A1	ENSG00000183023	0.210271500109552	protein	neg	TRUE	4	1.1044100198542E-3	1	0.09	9	Synaptic/ neuron	protein	plasma_membrane	biological regulation	regulation of biological process	binding	protein binding	-0.557660863163891	-0.295763358185771	No DS	DEP + DEG, no DS
RETREG3	ENSG00000141699	0.164737361100032	protein	pos	TRUE	11	7.8501933501315992E-3	1	0.16	6	Metabolism	protein	membrane	cellular process	cellular developmental process	binding	protein binding	0.461412588835914	0.0356142317725902	No DS	DEP, no DEG, no DS
TBCD	ENSG00000141556	0.172238135910329	protein	neg	TRUE	7	5.0958413845909002E-3	1	0.02	9	Synaptic/ neuron	protein	cytoskeleton	cellular process	cellular component organization	binding	protein binding	-0.477267431978175	-0.225689766895789	DS	DEP + DS
CAPN2	ENSG00000162909	0.135004461571726	protein	neg	TRUE	9	3.2757939006463998E-3	0.99	0.05	9	Synaptic/ neuron	protein	plasma_membrane	metabolic process	nitrogen compound metabolic process	catalytic	hydrolase	-0.398564353805748	-0.315527929984271	No DS	DEP + DEG, no DS
